Id,CreationDate,PostId,RelatedPostId,LinkTypeId
"200","2010-08-25 21:48:53","703","211","1"
"217","2010-08-26 03:14:15","786","742","1"
"281","2010-08-27 12:23:57","321","953","1"
"355","2010-08-30 16:08:43","1004","74","1"
"357","2010-08-30 17:36:37","626","1080","1"
"365","2010-08-30 21:55:19","840","372","1"
"368","2010-08-31 11:49:29","714","870","1"
"380","2010-08-31 18:14:10","1103","134","1"
"18142","2010-09-22 17:34:21","1615","74","1"
"20338","2010-09-26 18:45:16","1678","1539","1"
"27212","2010-10-06 13:27:08","1742","1459","1"
"30476","2010-10-12 07:40:25","1937","74","1"
"31194","2010-10-12 15:26:36","1954","1022","1"
"32345","2010-10-13 16:47:18","870","479","1"
"32610","2010-10-13 21:13:50","1991","571","1"
"35871","2010-10-20 10:12:26","1960","953","1"
"36209","2010-10-20 17:45:33","1635","1197","1"
"37837","2010-10-22 17:51:40","2077","691","1"
"37960","2010-10-22 21:52:02","2053","2045","1"
"38419","2010-10-24 05:23:33","1966","603","1"
"39265","2010-10-25 00:16:46","2153","2147","1"
"41848","2010-10-28 15:36:05","2235","2147","1"
"41874","2010-10-28 15:37:12","2147","2235","1"
"41923","2010-10-28 17:38:29","2237","1420","1"
"42793","2010-11-02 06:20:19","2288","1056","1"
"49654","2010-11-10 23:19:41","2450","2424","1"
"50155","2010-11-11 20:48:54","2464","2407","1"
"53556","2010-11-19 01:23:56","2482","2550","1"
"57659","2010-11-30 09:09:24","2730","2278","1"
"70009","2010-12-20 18:17:20","2936","2634","1"
"73561","2010-12-28 15:06:53","2980","482","1"
"75762","2011-01-03 20:29:26","3038","2665","1"
"76263","2011-01-04 14:42:55","3038","2686","1"
"76489","2011-01-04 18:11:05","3051","21","1"
"80493","2011-01-10 17:41:07","3082","3043","1"
"81089","2011-01-11 18:38:15","3096","3009","1"
"84765","2011-01-17 14:43:55","3145","2825","1"
"90117","2011-01-27 13:33:40","3237","2530","1"
"91593","2011-01-31 19:39:18","3282","551","1"
"93521","2011-02-06 20:20:37","3331","1318","1"
"93522","2011-02-07 08:33:32","3388","375","1"
"93523","2011-02-07 08:33:32","3388","831","1"
"95279","2011-02-11 15:55:06","3492","74","1"
"95681","2011-02-14 11:55:54","3510","3380","1"
"95908","2011-02-14 20:21:01","3443","1459","1"
"96609","2011-02-16 21:42:41","3586","2109","1"
"96610","2011-02-16 21:42:41","3586","2657","1"
"96611","2011-02-16 21:42:41","3586","1991","1"
"96937","2011-02-17 13:57:15","3614","3462","1"
"98463","2011-02-21 22:20:52","3672","81","1"
"100114","2011-02-25 21:26:07","3782","1536","1"
"100141","2011-02-25 21:51:49","3781","3659","1"
"114518","2011-03-03 02:57:29","3856","1042","1"
"115970","2011-03-04 07:00:37","3896","2855","1"
"116821","2011-03-05 12:31:42","3519","1850","1"
"117973","2011-03-08 06:43:05","3956","3322","1"
"121752","2011-03-16 22:22:17","4114","1737","1"
"121978","2011-03-17 12:50:02","4127","789","1"
"122629","2011-03-18 08:48:48","4141","3322","1"
"122630","2011-03-18 08:48:48","4141","3956","1"
"123932","2011-03-22 14:13:09","4193","817","1"
"126060","2011-03-26 13:39:39","4283","4281","1"
"131411","2011-03-30 20:52:13","4318","4022","1"
"138337","2011-04-01 02:09:00","4309","126","1"
"140138","2011-04-01 21:17:02","5750","4901","1"
"140239","2011-04-01 21:59:24","5755","2861","1"
"141665","2011-04-02 11:48:53","5727","334","1"
"143141","2011-04-03 19:12:24","4298","2997","1"
"143967","2011-04-04 07:28:20","5722","74","1"
"144443","2011-04-04 13:23:42","4308","4727","1"
"147044","2011-04-05 20:20:55","5843","4287","1"
"147895","2011-04-06 13:07:52","5830","1795","1"
"147896","2011-04-06 13:07:52","5830","2990","1"
"150297","2011-04-08 07:57:19","5921","74","1"
"152223","2011-04-10 20:03:41","5952","74","1"
"152474","2011-04-11 05:48:45","5967","4200","1"
"153100","2011-04-12 01:22:44","4947","4696","1"
"156401","2011-04-15 14:26:36","6063","3736","1"
"158777","2011-04-18 15:01:12","6072","831","1"
"159128","2011-04-19 09:24:52","6122","3418","1"
"159129","2011-04-19 09:24:52","6122","3812","1"
"159805","2011-04-19 14:41:05","691","6133","1"
"160631","2011-04-20 19:54:43","6152","4078","1"
"161007","2011-04-21 14:52:28","6203","484","1"
"161708","2011-04-22 12:52:16","6211","4287","1"
"161709","2011-04-22 12:52:16","6211","4309","1"
"161710","2011-04-22 13:01:12","6215","3117","1"
"161761","2011-04-22 13:58:29","6229","3117","1"
"164087","2011-04-26 06:58:48","6135","5128","1"
"165113","2011-04-26 20:35:32","6441","1215","1"
"165514","2011-04-27 05:46:20","6456","3956","1"
"166415","2011-04-27 23:52:28","6437","3856","1"
"167091","2011-04-28 12:40:04","6506","1416","1"
"167617","2011-04-28 16:18:21","6533","202","1"
"168519","2011-04-29 06:27:47","6559","3801","1"
"169120","2011-04-29 13:39:02","6573","2730","1"
"172871","2011-05-01 04:51:45","6456","3445","1"
"177222","2011-05-03 07:32:50","933","5727","1"
"177223","2011-05-03 07:33:29","5727","933","1"
"178799","2011-05-04 15:08:36","6764","1364","1"
"178875","2011-05-04 15:49:10","6764","5024","1"
"179951","2011-05-05 12:59:12","6788","1850","1"
"181502","2011-05-06 08:42:09","6820","4941","1"
"182078","2011-05-06 18:13:13","6842","6840","1"
"182179","2011-05-07 02:51:05","6849","216","1"
"187805","2011-05-10 18:57:57","6945","6482","1"
"188606","2011-05-10 22:16:25","6956","6770","1"
"193082","2011-05-12 12:22:30","7025","3659","1"
"193733","2011-05-12 21:21:54","7048","6820","1"
"193884","2011-05-12 22:40:40","7053","2834","1"
"196660","2011-05-14 23:00:52","7120","7001","1"
"197336","2011-05-15 14:24:35","7130","6522","1"
"197387","2011-05-15 14:39:06","7130","4114","1"
"198588","2011-05-16 12:33:50","7130","1737","1"
"199289","2011-05-17 01:15:29","7120","5973","1"
"199465","2011-05-17 12:23:18","7162","6929","1"
"200841","2011-05-18 14:59:37","7249","1795","1"
"200892","2011-05-18 15:13:50","7239","7207","1"
"201093","2011-05-18 17:05:51","7254","1850","1"
"201269","2011-05-18 18:57:50","7268","7254","1"
"201270","2011-05-18 18:57:50","7268","1850","1"
"201371","2011-05-18 21:44:26","7264","3542","1"
"202072","2011-05-19 11:42:16","7297","6063","1"
"202173","2011-05-19 12:54:35","7297","3736","1"
"203124","2011-05-20 05:46:08","7331","1318","1"
"203125","2011-05-20 05:46:08","7331","5069","1"
"206251","2011-05-23 20:22:16","7426","4727","1"
"206252","2011-05-23 20:22:16","7426","4063","1"
"206278","2011-05-23 22:07:21","7421","4947","1"
"207029","2011-05-24 14:40:23","7462","7019","1"
"208180","2011-05-25 11:51:35","7487","334","1"
"208281","2011-05-25 12:31:41","7497","334","1"
"208607","2011-05-25 21:20:31","7462","2388","1"
"210158","2011-05-27 11:31:16","7570","352","1"
"210259","2011-05-27 14:00:45","7570","1042","1"
"210385","2011-05-27 16:10:02","1042","7570","1"
"211336","2011-05-28 16:44:50","603","1416","1"
"211712","2011-05-28 19:32:07","7720","1318","1"
"212088","2011-05-28 23:01:18","7722","1176","1"
"212714","2011-05-29 16:23:02","7722","46","1"
