Id,ReviewTaskTypeId,CreationDate,DeletionDate,ReviewTaskStateId,PostId,SuggestedEditId,CompletedByReviewTaskId
"1","3","2012-08-14 00:00:00","2012-08-15 00:00:00","2","613","","336"
"2","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","14482","","261"
"4","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","15564","","278"
"6","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","2947","","268"
"9","3","2012-08-14 00:00:00","2012-08-16 00:00:00","2","10987","","378"
"10","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","7544","","119"
"14","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","4003","","111"
"15","3","2012-08-14 00:00:00","2012-08-15 00:00:00","2","6179","","350"
"16","3","2012-08-14 00:00:00","2012-08-16 00:00:00","2","14542","","382"
"17","3","2012-08-14 00:00:00","2012-08-16 00:00:00","2","862","","377"
"18","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","15602","","287"
"19","3","2012-08-14 00:00:00","2012-08-14 00:00:00","3","11679","",""
"21","3","2012-08-14 00:00:00","2012-08-15 00:00:00","2","15788","","354"
"23","3","2012-08-14 00:00:00","2012-08-15 00:00:00","2","10988","","340"
"25","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","21527","","102"
"26","3","2012-08-14 00:00:00","2012-08-20 00:00:00","2","8051","","1867"
"30","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","17323","","107"
"31","3","2012-08-14 00:00:00","2012-08-16 00:00:00","2","12255","","365"
"32","3","2012-08-14 00:00:00","2012-08-20 00:00:00","2","11971","","1865"
"33","3","2012-08-14 00:00:00","2012-08-15 00:00:00","2","1337","","342"
"34","3","2012-08-14 00:00:00","2012-08-16 00:00:00","2","2705","","366"
"35","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","15234","","280"
"37","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","1853","","303"
"38","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","10285","","188"
"40","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","10525","","288"
"41","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","3163","","284"
"42","3","2012-08-14 00:00:00","2012-08-18 00:00:00","2","22257","","1850"
"43","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","13853","","26"
"44","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","10122","","299"
"46","3","2012-08-14 00:00:00","2012-08-15 00:00:00","2","17296","","348"
"51","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","5932","","239"
"53","3","2012-08-14 00:00:00","2012-08-15 00:00:00","2","10190","","341"
"55","3","2012-08-14 00:00:00","2012-08-18 00:00:00","2","14117","","1852"
"56","3","2012-08-14 00:00:00","2012-08-15 00:00:00","2","7603","","338"
"57","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","3139","","276"
"58","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","14287","","94"
"63","3","2012-08-14 00:00:00","2012-08-15 00:00:00","2","12056","","353"
"64","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","1451","","234"
"67","3","2012-08-14 00:00:00","2012-08-16 00:00:00","2","6022","","384"
"69","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","16061","","157"
"70","3","2012-08-14 00:00:00","2012-08-30 00:00:00","2","2410","","1919"
"71","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","10527","","247"
"72","3","2012-08-14 00:00:00","2012-08-15 00:00:00","2","6734","","343"
"73","3","2012-08-14 00:00:00","2012-09-23 00:00:00","2","24382","","2109"
"74","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","2102","","243"
"75","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","13912","","293"
"76","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","13008","","152"
"77","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","12232","","108"
"78","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","17321","","267"
"79","3","2012-08-14 00:00:00","2012-08-30 00:00:00","2","11962","","1923"
"80","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","1280","","300"
"81","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","2695","","301"
"82","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","15233","","105"
"83","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","5933","","86"
"84","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","10281","","312"
"85","3","2012-08-14 00:00:00","2012-08-16 00:00:00","2","2329","","385"
"86","3","2012-08-14 00:00:00","2012-08-16 00:00:00","2","21909","","383"
"88","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","3151","","286"
"89","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","14326","","283"
"90","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","10860","","178"
"91","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","10062","","285"
"93","3","2012-08-14 00:00:00","2012-08-14 00:00:00","2","441","","93"
