Id,SourceTagName,TargetTagName,CreationDate,OwnerUserId,AutoRenameCount,LastAutoRename,Score,ApprovedByUserId,ApprovalDate
"1","websites","website-design","2010-08-30 00:19:36","61","10","2018-05-30 02:47:41","0","61","2011-01-12 14:40:35"
"2","website","website-design","2010-08-30 00:19:43","61","266","2018-09-11 12:25:58","0","61","2011-09-19 20:54:42"
"4","touch","touch-screen","2010-09-06 15:01:47","61","63","2018-01-28 06:42:38","0","61","2011-09-19 20:54:26"
"7","info-visualization","info-visualisation","2011-03-17 14:11:28","61","1","2012-02-29 17:26:16","0","61","2011-03-30 21:09:59"
"8","semantic","semantics","2011-05-18 16:01:52","61","4","2017-09-18 20:27:44","0","61","2011-05-18 16:01:52"
"9","icon","icons","2011-05-24 22:05:43","249","65","2018-03-15 07:45:11","0","249","2011-05-24 22:05:43"
"10","ia","information-architecture","2011-06-06 13:42:23","249","13","2018-05-25 15:39:09","0","249","2011-06-06 13:42:23"
"11","table","tables","2011-08-08 13:23:12","61","86","2018-08-15 17:11:10","0","61","2011-08-08 13:23:12"
"12","datavis","info-visualisation","2011-09-14 18:56:30","249","1","2011-11-02 17:45:58","0","249","2011-09-14 18:56:30"
"13","microcopy","copywriting","2011-09-19 20:53:35","61","134","2018-07-08 06:43:26","0","61","2011-09-19 20:54:04"
"14","webdesign","website-design","2011-10-05 15:22:58","61","88","2017-04-21 20:13:24","0","61","2011-10-05 15:23:40"
"15","iconography","icons","2011-10-12 21:26:13","7627","82","2018-08-22 14:52:56","1","249","2012-03-01 21:07:28"
"17","performance","response-time","2011-12-21 13:57:13","61","43","2018-05-16 15:19:17","0","61","2011-12-21 13:58:00"
"18","system-response","response-time","2011-12-21 13:57:26","61","5","2016-10-26 20:28:57","0","61","2011-12-21 13:57:57"
"20","desktop","desktop-application","2011-12-22 14:49:54","61","62","2018-09-03 19:33:33","0","249","2012-01-20 19:03:22"
"22","form","forms","2012-01-20 07:02:41","8207","163","2018-08-29 19:00:14","0","249","2012-01-20 19:03:01"
"23","real-world","physical","2012-03-07 14:42:00","3865","0","","0","3865","2012-03-07 14:55:14"
"24","gui","gui-design","2012-03-20 13:37:25","10478","76","2018-07-18 08:26:49","1","7627","2012-05-15 19:54:22"
"25","colourscheme","color-scheme","2012-05-23 15:20:54","7627","0","","0","7627","2012-05-23 15:21:29"
"26","system-usability-scale","sus","2012-05-24 18:31:12","7627","0","","0","7627","2012-05-24 18:31:12"
"27","color-combination","color-scheme","2012-08-29 16:17:35","7627","99","2018-09-17 15:05:13","0","7627","2012-08-29 16:25:45"
"28","link","hyperlinks","2012-08-29 16:19:11","14279","83","2018-08-21 15:28:20","0","7627","2012-08-29 16:27:02"
"29","accelerators","keyboard-shortcuts","2012-08-30 21:25:31","6117","0","","0","7627","2012-09-06 21:44:44"
"30","cognitive-psychology","psychology","2012-09-06 21:44:28","7627","8","2017-05-03 15:30:37","0","7627","2012-09-06 21:44:36"
"31","button","buttons","2012-09-16 14:06:11","7627","139","2018-09-06 13:17:08","0","7627","2012-09-16 14:06:19"
"32","ucd","user-centered-design","2012-11-05 13:03:43","7627","16","2018-09-04 09:47:08","0","7627","2012-11-05 13:04:00"
"33","list","lists","2012-11-27 08:16:19","4679","75","2018-08-11 09:28:23","1","7627","2012-12-11 22:59:05"
"34","updates","updating","2012-12-11 22:58:51","7627","1","2013-05-23 08:09:45","0","7627","2012-12-11 22:58:57"
"35","labeling","labels","2012-12-18 14:38:37","7627","80","2018-09-21 09:48:11","0","7627","2012-12-18 14:38:44"
"36","cli","command-line","2013-02-05 22:22:51","7627","2","2015-11-13 06:29:51","0","7627","2013-02-05 22:23:07"
"37","command-line-interface","command-line","2013-02-05 22:22:59","7627","1","2013-06-19 00:46:08","0","7627","2013-02-05 22:23:05"
"38","waiting","response-time","2013-02-14 15:44:37","7627","21","2018-07-01 15:03:03","0","7627","2013-04-29 14:47:08"
"39","patterns","design-patterns","2013-04-16 20:20:08","21954","51","2018-09-10 15:49:55","0","7627","2013-04-29 14:46:57"
"41","emotional","emotion","2013-04-16 21:36:05","21954","1","2016-03-31 00:09:08","0","7627","2013-04-17 19:55:32"
"42","behavior","user-behavior","2013-04-16 21:37:50","28591","6","2017-10-26 03:45:05","0","7627","2013-04-17 19:55:26"
"44","edit-in-place","inline-edit","2013-04-17 12:46:00","21954","8","2018-06-26 18:59:17","0","7627","2013-04-17 19:56:16"
"45","behavioral-psychology","psychology","2013-04-17 12:48:54","21954","1","2013-06-24 05:39:47","0","7627","2013-04-17 19:56:21"
"46","interaction","interaction-design","2013-04-17 17:39:59","21954","74","2018-06-04 09:26:09","0","7627","2013-04-17 19:54:26"
"48","exit","close","2013-04-18 16:57:33","7627","4","2018-01-30 20:47:33","0","7627","2013-04-18 16:57:44"
"49","switch","toggle","2013-04-18 20:20:46","7627","44","2018-08-17 09:17:54","0","7627","2013-04-18 20:20:52"
"51","non-technical-user","novice-users","2013-04-29 14:45:20","7627","0","","0","7627","2013-04-29 14:46:12"
"52","url","urls","2013-07-22 21:02:50","7627","3","2015-02-10 14:51:41","0","7627","2013-07-22 21:02:55"
"53","map","maps","2013-07-24 12:57:21","7627","28","2018-05-26 20:25:02","0","7627","2013-07-24 12:57:33"
"54","map-ui","maps","2013-07-24 12:57:25","7627","36","2018-06-06 14:32:14","0","7627","2013-07-24 12:57:31"
"55","modal-dialog","modal-windows","2013-12-13 18:33:28","7627","133","2018-09-15 05:40:45","0","7627","2013-12-13 18:33:28"
