Id,PostId,VoteTypeId,UserId,CreationDate,BountyAmount
"1","1","2","","2010-08-09 00:00:00",""
"2","3","2","","2010-08-09 00:00:00",""
"3","2","2","","2010-08-09 00:00:00",""
"6","3","2","","2010-08-09 00:00:00",""
"7","3","2","","2010-08-09 00:00:00",""
"8","7","2","","2010-08-09 00:00:00",""
"9","1","2","","2010-08-09 00:00:00",""
"10","4","2","","2010-08-09 00:00:00",""
"11","3","2","","2010-08-09 00:00:00",""
"12","3","2","","2010-08-09 00:00:00",""
"13","6","2","","2010-08-09 00:00:00",""
"14","11","2","","2010-08-09 00:00:00",""
"15","3","2","","2010-08-09 00:00:00",""
"16","9","2","","2010-08-09 00:00:00",""
"17","4","2","","2010-08-09 00:00:00",""
"18","3","2","","2010-08-09 00:00:00",""
"19","9","2","","2010-08-09 00:00:00",""
"20","13","2","","2010-08-09 00:00:00",""
"21","3","2","","2010-08-09 00:00:00",""
"22","2","2","","2010-08-09 00:00:00",""
"23","3","2","","2010-08-09 00:00:00",""
"24","4","2","","2010-08-09 00:00:00",""
"25","2","2","","2010-08-09 00:00:00",""
"26","15","2","","2010-08-09 00:00:00",""
"27","19","2","","2010-08-09 00:00:00",""
"28","11","2","","2010-08-09 00:00:00",""
"29","15","2","","2010-08-09 00:00:00",""
"30","12","2","","2010-08-09 00:00:00",""
"31","25","2","","2010-08-09 00:00:00",""
"32","23","2","","2010-08-09 00:00:00",""
"33","13","2","","2010-08-09 00:00:00",""
"34","13","1","","2010-08-09 00:00:00",""
"35","25","2","","2010-08-09 00:00:00",""
"36","21","2","","2010-08-09 00:00:00",""
"37","35","2","","2010-08-09 00:00:00",""
"38","1","2","","2010-08-09 00:00:00",""
"39","18","2","","2010-08-09 00:00:00",""
"40","3","2","","2010-08-09 00:00:00",""
"41","2","2","","2010-08-09 00:00:00",""
"42","11","2","","2010-08-09 00:00:00",""
"43","35","2","","2010-08-09 00:00:00",""
"44","35","2","","2010-08-09 00:00:00",""
"46","30","2","","2010-08-09 00:00:00",""
"47","1","2","","2010-08-09 00:00:00",""
"48","37","2","","2010-08-09 00:00:00",""
"49","32","2","","2010-08-09 00:00:00",""
"51","31","2","","2010-08-09 00:00:00",""
"52","32","2","","2010-08-09 00:00:00",""
"53","32","2","","2010-08-09 00:00:00",""
"54","32","2","","2010-08-09 00:00:00",""
"56","41","2","","2010-08-09 00:00:00",""
"57","28","2","","2010-08-09 00:00:00",""
"58","41","2","","2010-08-09 00:00:00",""
"59","37","2","","2010-08-09 00:00:00",""
"60","22","2","","2010-08-09 00:00:00",""
"61","37","2","","2010-08-09 00:00:00",""
"62","18","2","","2010-08-09 00:00:00",""
"63","19","2","","2010-08-09 00:00:00",""
"65","4","1","","2010-08-09 00:00:00",""
"67","25","2","","2010-08-09 00:00:00",""
"68","49","2","","2010-08-09 00:00:00",""
