,CreationDate,Tags,design,usability,website,forms,user,gui,web,mobile,interaction,navigation,buttons,app,behavior,layout,patterns,search,icons,research,input,menu,Month
0,2010-08-09 19:41:42,<contextual-menu><radial-menu>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010-08-01 00:00:00
1,2010-08-09 19:42:31,<performance><response-time><ajax>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
2,2010-08-09 19:48:59,<placement>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
3,2010-08-09 19:52:59,<wizard>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
4,2010-08-09 19:57:23,<screen-resolution>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
5,2010-08-09 20:00:37,<grid>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
6,2010-08-09 20:02:25,<placement><forms><buttons>,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
7,2010-08-09 20:03:41,<mobile><android><ios><customisation>,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
8,2010-08-09 20:03:44,<website-design><layout>,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2010-08-01 00:00:00
9,2010-08-09 20:25:57,<placement><buttons><alignment>,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
10,2010-08-09 20:29:13,<css><image><html>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
11,2010-08-09 20:30:38,<navigation><discovery>,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
12,2010-08-09 20:33:09,<design-process><methodology><interaction-design>,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
13,2010-08-09 20:37:06,<website-design><navigation><menu><sidebar>,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2010-08-01 00:00:00
14,2010-08-09 20:55:55,<navigation>,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
15,2010-08-09 21:06:59,<website-design><font><accessibility>,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
16,2010-08-09 21:07:19,<layout><desktop>,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2010-08-01 00:00:00
17,2010-08-09 21:13:35,<mobile><layout><android><ios>,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2010-08-01 00:00:00
18,2010-08-09 21:21:03,<mobile><usability-testing><ab-testing>,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
19,2010-08-09 21:28:59,<accessibility><color>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
20,2010-08-09 21:38:04,<resources><learning>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
21,2010-08-09 21:50:09,<authentication><login>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
22,2010-08-09 21:59:06,<text><type><typography>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
23,2010-08-09 22:24:46,<learning><resources>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
24,2010-08-09 22:32:02,<help><popup><hints>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
25,2010-08-09 23:18:40,<simplicity><customizable>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
26,2010-08-09 23:38:52,<mobile><android><design-patterns>,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2010-08-01 00:00:00
27,2010-08-10 00:44:36,<menu><popup><novice-users>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010-08-01 00:00:00
28,2010-08-10 01:33:29,<website-design><desktop>,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
29,2010-08-10 01:43:16,<legibility><font><interface>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-08-01 00:00:00
